x,f(x),S1(n=1),S2(n=3),S3(n=5),S4(n=7),F1,F2,F3
0.00,1.00,0,0,0,0,0,0,0
0.02,1.00,0.039993421,0.039940809,0.039835709,0.039678372,0.079934229,0.119769939,0.15944831
0.04,1.00,0.079947372,0.0795271,0.078690531,0.077445576,0.159474472,0.238165004,0.31561058
0.06,1.00,0.119822426,0.118407503,0.115607731,0.1114825,0.238229929,0.35383766,0.46532016
0.08,1.00,0.159579229,0.156236913,0.149678285,0.140149704,0.315816142,0.465494427,0.605644132
0.10,1.00,0.199178547,0.192679552,0.180063263,0.162066392,0.391858099,0.571921363,0.733987754
0.12,1.00,0.2385813,0.227411955,0.206014486,0.176176912,0.465993255,0.67200774,0.848184652
0.14,1.00,0.277748601,0.260125833,0.226892948,0.181801611,0.537874434,0.764767382,0.946568993
0.16,1.00,0.316641799,0.290530815,0.242184553,0.178669567,0.607172614,0.849357167,1.028026734
0.18,1.00,0.355222509,0.318357026,0.251512771,0.16693164,0.673579534,0.925092305,1.092023945
0.20,1.00,0.393452657,0.343357477,0.254647909,0.147153204,0.736810134,0.991458043,1.138611247
0.22,1.00,0.431294515,0.365310262,0.251512771,0.120286917,0.796604778,1.048117548,1.168404465
0.24,1.00,0.468710738,0.384020528,0.242184553,0.087626833,0.852731266,1.094915819,1.182542652
0.26,1.00,0.505664399,0.399322201,0.226892948,0.050746073,0.9049866,1.131879548,1.182625621
0.28,1.00,0.542119031,0.411079461,0.206014486,0.011421053,0.953198492,1.159212978,1.170634032
0.30,1.00,0.578038657,0.419187951,0.180063263,-0.028454078,0.997226608,1.177289871,1.148835793
0.32,1.00,0.613387829,0.423575699,0.149678285,-0.066958677,1.036963528,1.186641813,1.119683136
0.34,1.00,0.64813166,0.424203759,0.115607731,-0.102238112,1.07233542,1.187943151,1.085705039
0.36,1.00,0.682235864,0.421066557,0.078690531,-0.132593098,1.103302421,1.181992953,1.049399855
0.38,1.00,0.715666784,0.414191938,0.039835709,-0.156561541,1.129858722,1.169694431,1.01313289
0.40,1.00,0.748391427,0.403640922,3.11981E-17,-0.172988967,1.152032349,1.152032349,0.979043382
0.42,1.00,0.780377498,0.389507161,-0.039835709,-0.181084123,1.169884659,1.130048949,0.948964826
0.44,1.00,0.811593431,0.371916106,-0.078690531,-0.180457096,1.183509537,1.104819005,0.924361909
0.46,1.00,0.842008418,0.351023898,-0.115607731,-0.171138086,1.193032316,1.077424585,0.906286499
0.48,1.00,0.871592446,0.327015977,-0.149678285,-0.153575958,1.198608422,1.048930137,0.895354179
0.50,1.00,0.900316316,0.300105439,-0.180063263,-0.128616617,1.200421755,1.020358492,0.891741875
0.52,1.00,0.928151683,0.270531144,-0.206014486,-0.097462266,1.198682827,0.992668341,0.895206075
0.54,1.00,0.955071077,0.238555595,-0.226892948,-0.061613502,1.193626672,0.966733723,0.905120221
0.56,1.00,0.98104793,0.20446261,-0.242184553,-0.022797033,1.18551054,0.943325987,0.920528954
0.58,1.00,1.006056608,0.1685548,-0.251512771,0.017117489,1.174611408,0.923098637,0.940216127
0.60,1.00,1.03007243,0.131150886,-0.254647909,0.056207522,1.161223315,0.906575406,0.962782929
0.62,1.00,1.053071694,0.092582867,-0.251512771,0.092590237,1.145654561,0.89414179,0.986732028
0.64,1.00,1.075031703,0.053193076,-0.242184553,0.124513207,1.12822478,0.886040227,1.010553433
0.66,1.00,1.095930787,0.01333114,-0.226892948,0.150438813,1.109261927,0.882368979,1.032807792
0.68,1.00,1.115748318,-0.026649124,-0.206014486,0.169118313,1.089099194,0.883084708,1.052203021
0.70,1.00,1.134464741,-0.066392849,-0.180063263,0.179651979,1.068071892,0.888008629,1.067660608
0.72,1.00,1.152061584,-0.105547266,-0.149678285,0.181532442,1.046514318,0.896836033,1.078368475
0.74,1.00,1.168521482,-0.143764838,-0.115607731,0.174669128,1.024756643,0.909148912,1.08381804
0.76,1.00,1.18382819,-0.180706344,-0.078690531,0.159392617,1.003121846,0.924431314,1.083823931
0.78,1.00,1.197966602,-0.216043887,-0.039835709,0.136438725,0.981922715,0.942087006,1.078525731
0.80,1.00,1.210922766,-0.249463809,-6.23963E-17,0.106913061,0.961458957,0.961458957,1.068372018
0.82,1.00,1.222683895,-0.280669473,0.039835709,0.072237771,0.942014422,0.981850132,1.054087903
0.84,1.00,1.233238383,-0.309383894,0.078690531,0.034083043,0.923854489,1.00254502,1.036628063
0.86,1.00,1.242575814,-0.335352203,0.115607731,-0.005713346,0.907223611,1.022831342,1.017117997
0.88,1.00,1.250686972,-0.358343901,0.149678285,-0.045234543,0.892343071,1.042021356,0.996786813
0.90,1.00,1.257563853,-0.378154914,0.180063263,-0.082576951,0.879408939,1.059472203,0.976895252
0.92,1.00,1.263199671,-0.394609397,0.206014486,-0.115941919,0.868590274,1.07460476,0.958662841
0.94,1.00,1.267588863,-0.407561298,0.226892948,-0.143722373,0.860027564,1.086920512,0.94319814
0.96,1.00,1.270727097,-0.416895657,0.242184553,-0.164580226,0.85383144,1.096015993,0.931435767
0.98,1.00,1.272611278,-0.422529621,0.251512771,-0.177510831,0.850081657,1.101594428,0.924083597
1.00,1.00,1.273239545,-0.424413182,0.254647909,-0.181891364,0.848826363,1.103474272,0.921582909
1.02,1.00,1.272611278,-0.422529621,0.251512771,-0.177510831,0.850081657,1.101594428,0.924083597
1.04,1.00,1.270727097,-0.416895657,0.242184553,-0.164580226,0.85383144,1.096015993,0.931435767
1.06,1.00,1.267588863,-0.407561298,0.226892948,-0.143722373,0.860027564,1.086920512,0.94319814
1.08,1.00,1.263199671,-0.394609397,0.206014486,-0.115941919,0.868590274,1.07460476,0.958662841
1.10,1.00,1.257563853,-0.378154914,0.180063263,-0.082576951,0.879408939,1.059472203,0.976895252
1.12,1.00,1.250686972,-0.358343901,0.149678285,-0.045234543,0.892343071,1.042021356,0.996786813
1.14,1.00,1.242575814,-0.335352203,0.115607731,-0.005713346,0.907223611,1.022831342,1.017117997
1.16,1.00,1.233238383,-0.309383894,0.078690531,0.034083043,0.923854489,1.00254502,1.036628063
1.18,1.00,1.222683895,-0.280669473,0.039835709,0.072237771,0.942014422,0.981850132,1.054087903
1.20,1.00,1.210922766,-0.249463809,9.35944E-17,0.106913061,0.961458957,0.961458957,1.068372018
1.22,1.00,1.197966602,-0.216043887,-0.039835709,0.136438725,0.981922715,0.942087006,1.078525731
1.24,1.00,1.18382819,-0.180706344,-0.078690531,0.159392617,1.003121846,0.924431314,1.083823931
1.26,1.00,1.168521482,-0.143764838,-0.115607731,0.174669128,1.024756643,0.909148912,1.08381804
1.28,1.00,1.152061584,-0.105547266,-0.149678285,0.181532442,1.046514318,0.896836033,1.078368475
1.30,1.00,1.134464741,-0.066392849,-0.180063263,0.179651979,1.068071892,0.888008629,1.067660608
1.32,1.00,1.115748318,-0.026649124,-0.206014486,0.169118313,1.089099194,0.883084708,1.052203021
1.34,1.00,1.095930787,0.01333114,-0.226892948,0.150438813,1.109261927,0.882368979,1.032807792
1.36,1.00,1.075031703,0.053193076,-0.242184553,0.124513207,1.12822478,0.886040227,1.010553433
1.38,1.00,1.053071694,0.092582867,-0.251512771,0.092590237,1.145654561,0.89414179,0.986732028
1.40,1.00,1.03007243,0.131150886,-0.254647909,0.056207522,1.161223315,0.906575406,0.962782929
1.42,1.00,1.006056608,0.1685548,-0.251512771,0.017117489,1.174611408,0.923098637,0.940216127
1.44,1.00,0.98104793,0.20446261,-0.242184553,-0.022797033,1.18551054,0.943325987,0.920528954
1.46,1.00,0.955071077,0.238555595,-0.226892948,-0.061613502,1.193626672,0.966733723,0.905120221
1.48,1.00,0.928151683,0.270531144,-0.206014486,-0.097462266,1.198682827,0.992668341,0.895206075
1.50,1.00,0.900316316,0.300105439,-0.180063263,-0.128616617,1.200421755,1.020358492,0.891741875
1.52,1.00,0.871592446,0.327015977,-0.149678285,-0.153575958,1.198608422,1.048930137,0.895354179
1.54,1.00,0.842008418,0.351023898,-0.115607731,-0.171138086,1.193032316,1.077424585,0.906286499
1.56,1.00,0.811593431,0.371916106,-0.078690531,-0.180457096,1.183509537,1.104819005,0.924361909
1.58,1.00,0.780377498,0.389507161,-0.039835709,-0.181084123,1.169884659,1.130048949,0.948964826
1.60,1.00,0.748391427,0.403640922,-1.24793E-16,-0.172988967,1.152032349,1.152032349,0.979043382
1.62,1.00,0.715666784,0.414191938,0.039835709,-0.156561541,1.129858722,1.169694431,1.01313289
1.64,1.00,0.682235864,0.421066557,0.078690531,-0.132593098,1.103302421,1.181992953,1.049399855
1.66,1.00,0.64813166,0.424203759,0.115607731,-0.102238112,1.07233542,1.187943151,1.085705039
1.68,1.00,0.613387829,0.423575699,0.149678285,-0.066958677,1.036963528,1.186641813,1.119683136
1.70,1.00,0.578038657,0.419187951,0.180063263,-0.028454078,0.997226608,1.177289871,1.148835793
1.72,1.00,0.542119031,0.411079461,0.206014486,0.011421053,0.953198492,1.159212978,1.170634032
1.74,1.00,0.505664399,0.399322201,0.226892948,0.050746073,0.9049866,1.131879548,1.182625621
1.76,1.00,0.468710738,0.384020528,0.242184553,0.087626833,0.852731266,1.094915819,1.182542652
1.78,1.00,0.431294515,0.365310262,0.251512771,0.120286917,0.796604778,1.048117548,1.168404465
1.80,1.00,0.393452657,0.343357477,0.254647909,0.147153204,0.736810134,0.991458043,1.138611247
1.82,1.00,0.355222509,0.318357026,0.251512771,0.16693164,0.673579534,0.925092305,1.092023945
1.84,1.00,0.316641799,0.290530815,0.242184553,0.178669567,0.607172614,0.849357167,1.028026734
1.86,1.00,0.277748601,0.260125833,0.226892948,0.181801611,0.537874434,0.764767382,0.946568993
1.88,1.00,0.2385813,0.227411955,0.206014486,0.176176912,0.465993255,0.67200774,0.848184652
1.90,1.00,0.199178547,0.192679552,0.180063263,0.162066392,0.391858099,0.571921363,0.733987754
1.92,1.00,0.159579229,0.156236913,0.149678285,0.140149704,0.315816142,0.465494427,0.605644132
1.94,1.00,0.119822426,0.118407503,0.115607731,0.1114825,0.238229929,0.35383766,0.46532016
1.96,1.00,0.079947372,0.0795271,0.078690531,0.077445576,0.159474472,0.238165004,0.31561058
1.98,1.00,0.039993421,0.039940809,0.039835709,0.039678372,0.079934229,0.119769939,0.15944831
2.00,1.00,1.55991E-16,1.55991E-16,1.55991E-16,1.55991E-16,3.11981E-16,4.67972E-16,6.23963E-16
2.02,-1.00,-0.039993421,-0.039940809,-0.039835709,-0.039678372,-0.079934229,-0.119769939,-0.15944831
2.04,-1.00,-0.079947372,-0.0795271,-0.078690531,-0.077445576,-0.159474472,-0.238165004,-0.31561058
2.06,-1.00,-0.119822426,-0.118407503,-0.115607731,-0.1114825,-0.238229929,-0.35383766,-0.46532016
2.08,-1.00,-0.159579229,-0.156236913,-0.149678285,-0.140149704,-0.315816142,-0.465494427,-0.605644132
2.10,-1.00,-0.199178547,-0.192679552,-0.180063263,-0.162066392,-0.391858099,-0.571921363,-0.733987754
2.12,-1.00,-0.2385813,-0.227411955,-0.206014486,-0.176176912,-0.465993255,-0.67200774,-0.848184652
2.14,-1.00,-0.277748601,-0.260125833,-0.226892948,-0.181801611,-0.537874434,-0.764767382,-0.946568993
2.16,-1.00,-0.316641799,-0.290530815,-0.242184553,-0.178669567,-0.607172614,-0.849357167,-1.028026734
2.18,-1.00,-0.355222509,-0.318357026,-0.251512771,-0.16693164,-0.673579534,-0.925092305,-1.092023945
2.20,-1.00,-0.393452657,-0.343357477,-0.254647909,-0.147153204,-0.736810134,-0.991458043,-1.138611247
2.22,-1.00,-0.431294515,-0.365310262,-0.251512771,-0.120286917,-0.796604778,-1.048117548,-1.168404465
2.24,-1.00,-0.468710738,-0.384020528,-0.242184553,-0.087626833,-0.852731266,-1.094915819,-1.182542652
2.26,-1.00,-0.505664399,-0.399322201,-0.226892948,-0.050746073,-0.9049866,-1.131879548,-1.182625621
2.28,-1.00,-0.542119031,-0.411079461,-0.206014486,-0.011421053,-0.953198492,-1.159212978,-1.170634032
2.30,-1.00,-0.578038657,-0.419187951,-0.180063263,0.028454078,-0.997226608,-1.177289871,-1.148835793
2.32,-1.00,-0.613387829,-0.423575699,-0.149678285,0.066958677,-1.036963528,-1.186641813,-1.119683136
2.34,-1.00,-0.64813166,-0.424203759,-0.115607731,0.102238112,-1.07233542,-1.187943151,-1.085705039
2.36,-1.00,-0.682235864,-0.421066557,-0.078690531,0.132593098,-1.103302421,-1.181992953,-1.049399855
2.38,-1.00,-0.715666784,-0.414191938,-0.039835709,0.156561541,-1.129858722,-1.169694431,-1.01313289
2.40,-1.00,-0.748391427,-0.403640922,-1.87189E-16,0.172988967,-1.152032349,-1.152032349,-0.979043382
2.42,-1.00,-0.780377498,-0.389507161,0.039835709,0.181084123,-1.169884659,-1.130048949,-0.948964826
2.44,-1.00,-0.811593431,-0.371916106,0.078690531,0.180457096,-1.183509537,-1.104819005,-0.924361909
2.46,-1.00,-0.842008418,-0.351023898,0.115607731,0.171138086,-1.193032316,-1.077424585,-0.906286499
2.48,-1.00,-0.871592446,-0.327015977,0.149678285,0.153575958,-1.198608422,-1.048930137,-0.895354179
2.50,-1.00,-0.900316316,-0.300105439,0.180063263,0.128616617,-1.200421755,-1.020358492,-0.891741875
2.52,-1.00,-0.928151683,-0.270531144,0.206014486,0.097462266,-1.198682827,-0.992668341,-0.895206075
2.54,-1.00,-0.955071077,-0.238555595,0.226892948,0.061613502,-1.193626672,-0.966733723,-0.905120221
2.56,-1.00,-0.98104793,-0.20446261,0.242184553,0.022797033,-1.18551054,-0.943325987,-0.920528954
2.58,-1.00,-1.006056608,-0.1685548,0.251512771,-0.017117489,-1.174611408,-0.923098637,-0.940216127
2.60,-1.00,-1.03007243,-0.131150886,0.254647909,-0.056207522,-1.161223315,-0.906575406,-0.962782929
2.62,-1.00,-1.053071694,-0.092582867,0.251512771,-0.092590237,-1.145654561,-0.89414179,-0.986732028
2.64,-1.00,-1.075031703,-0.053193076,0.242184553,-0.124513207,-1.12822478,-0.886040227,-1.010553433
2.66,-1.00,-1.095930787,-0.01333114,0.226892948,-0.150438813,-1.109261927,-0.882368979,-1.032807792
2.68,-1.00,-1.115748318,0.026649124,0.206014486,-0.169118313,-1.089099194,-0.883084708,-1.052203021
2.70,-1.00,-1.134464741,0.066392849,0.180063263,-0.179651979,-1.068071892,-0.888008629,-1.067660608
2.72,-1.00,-1.152061584,0.105547266,0.149678285,-0.181532442,-1.046514318,-0.896836033,-1.078368475
2.74,-1.00,-1.168521482,0.143764838,0.115607731,-0.174669128,-1.024756643,-0.909148912,-1.08381804
2.76,-1.00,-1.18382819,0.180706344,0.078690531,-0.159392617,-1.003121846,-0.924431314,-1.083823931
2.78,-1.00,-1.197966602,0.216043887,0.039835709,-0.136438725,-0.981922715,-0.942087006,-1.078525731
2.80,-1.00,-1.210922766,0.249463809,2.18387E-16,-0.106913061,-0.961458957,-0.961458957,-1.068372018
2.82,-1.00,-1.222683895,0.280669473,-0.039835709,-0.072237771,-0.942014422,-0.981850132,-1.054087903
2.84,-1.00,-1.233238383,0.309383894,-0.078690531,-0.034083043,-0.923854489,-1.00254502,-1.036628063
2.86,-1.00,-1.242575814,0.335352203,-0.115607731,0.005713346,-0.907223611,-1.022831342,-1.017117997
2.88,-1.00,-1.250686972,0.358343901,-0.149678285,0.045234543,-0.892343071,-1.042021356,-0.996786813
2.90,-1.00,-1.257563853,0.378154914,-0.180063263,0.082576951,-0.879408939,-1.059472203,-0.976895252
2.92,-1.00,-1.263199671,0.394609397,-0.206014486,0.115941919,-0.868590274,-1.07460476,-0.958662841
2.94,-1.00,-1.267588863,0.407561298,-0.226892948,0.143722373,-0.860027564,-1.086920512,-0.94319814
2.96,-1.00,-1.270727097,0.416895657,-0.242184553,0.164580226,-0.85383144,-1.096015993,-0.931435767
2.98,-1.00,-1.272611278,0.422529621,-0.251512771,0.177510831,-0.850081657,-1.101594428,-0.924083597
3.00,-1.00,-1.273239545,0.424413182,-0.254647909,0.181891364,-0.848826363,-1.103474272,-0.921582909
3.02,-1.00,-1.272611278,0.422529621,-0.251512771,0.177510831,-0.850081657,-1.101594428,-0.924083597
3.04,-1.00,-1.270727097,0.416895657,-0.242184553,0.164580226,-0.85383144,-1.096015993,-0.931435767
3.06,-1.00,-1.267588863,0.407561298,-0.226892948,0.143722373,-0.860027564,-1.086920512,-0.94319814
3.08,-1.00,-1.263199671,0.394609397,-0.206014486,0.115941919,-0.868590274,-1.07460476,-0.958662841
3.10,-1.00,-1.257563853,0.378154914,-0.180063263,0.082576951,-0.879408939,-1.059472203,-0.976895252
3.12,-1.00,-1.250686972,0.358343901,-0.149678285,0.045234543,-0.892343071,-1.042021356,-0.996786813
3.14,-1.00,-1.242575814,0.335352203,-0.115607731,0.005713346,-0.907223611,-1.022831342,-1.017117997
3.16,-1.00,-1.233238383,0.309383894,-0.078690531,-0.034083043,-0.923854489,-1.00254502,-1.036628063
3.18,-1.00,-1.222683895,0.280669473,-0.039835709,-0.072237771,-0.942014422,-0.981850132,-1.054087903
3.20,-1.00,-1.210922766,0.249463809,-2.49585E-16,-0.106913061,-0.961458957,-0.961458957,-1.068372018
3.22,-1.00,-1.197966602,0.216043887,0.039835709,-0.136438725,-0.981922715,-0.942087006,-1.078525731
3.24,-1.00,-1.18382819,0.180706344,0.078690531,-0.159392617,-1.003121846,-0.924431314,-1.083823931
3.26,-1.00,-1.168521482,0.143764838,0.115607731,-0.174669128,-1.024756643,-0.909148912,-1.08381804
3.28,-1.00,-1.152061584,0.105547266,0.149678285,-0.181532442,-1.046514318,-0.896836033,-1.078368475
3.30,-1.00,-1.134464741,0.066392849,0.180063263,-0.179651979,-1.068071892,-0.888008629,-1.067660608
3.32,-1.00,-1.115748318,0.026649124,0.206014486,-0.169118313,-1.089099194,-0.883084708,-1.052203021
3.34,-1.00,-1.095930787,-0.01333114,0.226892948,-0.150438813,-1.109261927,-0.882368979,-1.032807792
3.36,-1.00,-1.075031703,-0.053193076,0.242184553,-0.124513207,-1.12822478,-0.886040227,-1.010553433
3.38,-1.00,-1.053071694,-0.092582867,0.251512771,-0.092590237,-1.145654561,-0.89414179,-0.986732028
3.40,-1.00,-1.03007243,-0.131150886,0.254647909,-0.056207522,-1.161223315,-0.906575406,-0.962782929
3.42,-1.00,-1.006056608,-0.1685548,0.251512771,-0.017117489,-1.174611408,-0.923098637,-0.940216127
3.44,-1.00,-0.98104793,-0.20446261,0.242184553,0.022797033,-1.18551054,-0.943325987,-0.920528954
3.46,-1.00,-0.955071077,-0.238555595,0.226892948,0.061613502,-1.193626672,-0.966733723,-0.905120221
3.48,-1.00,-0.928151683,-0.270531144,0.206014486,0.097462266,-1.198682827,-0.992668341,-0.895206075
3.50,-1.00,-0.900316316,-0.300105439,0.180063263,0.128616617,-1.200421755,-1.020358492,-0.891741875
3.52,-1.00,-0.871592446,-0.327015977,0.149678285,0.153575958,-1.198608422,-1.048930137,-0.895354179
3.54,-1.00,-0.842008418,-0.351023898,0.115607731,0.171138086,-1.193032316,-1.077424585,-0.906286499
3.56,-1.00,-0.811593431,-0.371916106,0.078690531,0.180457096,-1.183509537,-1.104819005,-0.924361909
3.58,-1.00,-0.780377498,-0.389507161,0.039835709,0.181084123,-1.169884659,-1.130048949,-0.948964826
3.60,-1.00,-0.748391427,-0.403640922,2.80783E-16,0.172988967,-1.152032349,-1.152032349,-0.979043382
3.62,-1.00,-0.715666784,-0.414191938,-0.039835709,0.156561541,-1.129858722,-1.169694431,-1.01313289
3.64,-1.00,-0.682235864,-0.421066557,-0.078690531,0.132593098,-1.103302421,-1.181992953,-1.049399855
3.66,-1.00,-0.64813166,-0.424203759,-0.115607731,0.102238112,-1.07233542,-1.187943151,-1.085705039
3.68,-1.00,-0.613387829,-0.423575699,-0.149678285,0.066958677,-1.036963528,-1.186641813,-1.119683136
3.70,-1.00,-0.578038657,-0.419187951,-0.180063263,0.028454078,-0.997226608,-1.177289871,-1.148835793
3.72,-1.00,-0.542119031,-0.411079461,-0.206014486,-0.011421053,-0.953198492,-1.159212978,-1.170634032
3.74,-1.00,-0.505664399,-0.399322201,-0.226892948,-0.050746073,-0.9049866,-1.131879548,-1.182625621
3.76,-1.00,-0.468710738,-0.384020528,-0.242184553,-0.087626833,-0.852731266,-1.094915819,-1.182542652
3.78,-1.00,-0.431294515,-0.365310262,-0.251512771,-0.120286917,-0.796604778,-1.048117548,-1.168404465
3.80,-1.00,-0.393452657,-0.343357477,-0.254647909,-0.147153204,-0.736810134,-0.991458043,-1.138611247
3.82,-1.00,-0.355222509,-0.318357026,-0.251512771,-0.16693164,-0.673579534,-0.925092305,-1.092023945
3.84,-1.00,-0.316641799,-0.290530815,-0.242184553,-0.178669567,-0.607172614,-0.849357167,-1.028026734
3.86,-1.00,-0.277748601,-0.260125833,-0.226892948,-0.181801611,-0.537874434,-0.764767382,-0.946568993
3.88,-1.00,-0.2385813,-0.227411955,-0.206014486,-0.176176912,-0.465993255,-0.67200774,-0.848184652
3.90,-1.00,-0.199178547,-0.192679552,-0.180063263,-0.162066392,-0.391858099,-0.571921363,-0.733987754
3.92,-1.00,-0.159579229,-0.156236913,-0.149678285,-0.140149704,-0.315816142,-0.465494427,-0.605644132
3.94,-1.00,-0.119822426,-0.118407503,-0.115607731,-0.1114825,-0.238229929,-0.35383766,-0.46532016
3.96,-1.00,-0.079947372,-0.0795271,-0.078690531,-0.077445576,-0.159474472,-0.238165004,-0.31561058
3.98,-1.00,-0.039993421,-0.039940809,-0.039835709,-0.039678372,-0.079934229,-0.119769939,-0.15944831
4.00,-1.00,-3.11981E-16,-3.11981E-16,-3.11981E-16,-3.11981E-16,-6.23963E-16,-9.35944E-16,-1.24793E-15
